,dandelion,daisy,tulips,sunflowers,roses
dandelion,0.8962962962962963,0.05925925925925926,0.014814814814814815,0.022222222222222223,0.007407407407407408
daisy,0.042105263157894736,0.9368421052631579,0.010526315789473684,0.010526315789473684,0.0
tulips,0.0,0.025,0.9083333333333333,0.008333333333333333,0.058333333333333334
sunflowers,0.0761904761904762,0.047619047619047616,0.0380952380952381,0.8095238095238095,0.02857142857142857
roses,0.010416666666666666,0.0,0.20833333333333334,0.010416666666666666,0.7708333333333334
