,dandelion,daisy,tulips,sunflowers,roses
dandelion,0.8740740740740741,0.037037037037037035,0.022222222222222223,0.044444444444444446,0.022222222222222223
daisy,0.05263157894736842,0.8947368421052632,0.021052631578947368,0.021052631578947368,0.010526315789473684
tulips,0.008333333333333333,0.008333333333333333,0.8583333333333333,0.008333333333333333,0.11666666666666667
sunflowers,0.01904761904761905,0.009523809523809525,0.02857142857142857,0.9047619047619048,0.0380952380952381
roses,0.0,0.010416666666666666,0.10416666666666667,0.010416666666666666,0.875
