modelo,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,f1_macro_validacion,brecha_f1_validacion_prueba,parametros_entrenables
A,0.8802177858439202,0.8797881671007328,0.8813812308549149,0.8799373471694022,0.8829051913729772,0.8802177858439202,0.8809209058125045,0.9018847657626299,0.021947418593227686,2565.0
B,0.8784029038112523,0.8784541447293848,0.8776750905040378,0.8774751369591722,0.8802567324353646,0.8784029038112523,0.8786686884380693,0.908287494985936,0.030812358026763742,132613.0
C,0.867513611615245,0.8713457759682519,0.864365775549986,0.8652434499149327,0.8716091812192923,0.867513611615245,0.8670707445859953,0.9019269470631203,0.03668349714818753,328965.0
